date,vehicle_model,defect_category,plant_line,production_volume,defect_count,warranty_claims,customer_complaints,severity_score,defect_rate
2023-01-01,Electric Van,HVAC,Line B,988,11,2,38,4.0,1.113
2023-01-01,Electric Van,HVAC,Line C,1005,10,4,61,1.0,0.995
2023-01-01,Electric Van,Suspension,Line A,769,13,5,60,2.0,1.691
2023-01-01,Electric Van,Suspension,Line B,880,16,9,82,1.0,1.818
2023-01-01,Electric Van,Suspension,Line C,845,12,3,47,2.0,1.42
2023-01-01,Commercial Bus,Engine,Line A,932,28,15,122,3.0,3.004
2023-01-01,Commercial Bus,Engine,Line B,940,35,27,165,2.0,3.723
2023-01-01,Commercial Bus,Engine,Line C,829,30,17,119,3.0,3.619
2023-01-01,Commercial Bus,Transmission,Line A,870,36,31,150,3.0,4.138
2023-01-01,Commercial Bus,Transmission,Line B,718,21,12,121,2.0,2.925
2023-01-01,Commercial Bus,Transmission,Line C,791,19,9,74,3.0,2.402
2023-01-01,Commercial Bus,Brakes,Line A,771,15,2,55,4.0,1.946
2023-01-01,Commercial Bus,Brakes,Line B,734,13,12,89,1.0,1.771
2023-01-01,Commercial Bus,Brakes,Line C,816,17,15,67,2.0,2.083
2023-01-01,Commercial Bus,Electrical,Line A,919,22,10,104,1.0,2.394
2023-01-01,Commercial Bus,Electrical,Line B,828,19,11,80,3.0,2.295
2023-01-01,Commercial Bus,Electrical,Line C,941,22,13,107,2.0,2.338
2023-01-01,Commercial Bus,Body/Frame,Line A,785,13,6,81,4.0,1.656
2023-01-01,Commercial Bus,Body/Frame,Line B,884,12,3,71,3.0,1.357
2023-01-01,Commercial Bus,Body/Frame,Line C,893,11,8,56,1.0,1.232
2023-01-01,Commercial Bus,HVAC,Line A,807,10,5,45,2.0,1.239
2023-01-01,Commercial Bus,HVAC,Line B,827,10,9,27,2.0,1.209
2023-01-01,Commercial Bus,HVAC,Line C,865,11,5,36,3.0,1.272
2023-01-01,Commercial Bus,Suspension,Line A,1005,14,10,65,2.0,1.393
2023-01-01,Commercial Bus,Suspension,Line B,755,13,10,67,4.0,1.722
2023-01-01,Commercial Bus,Suspension,Line C,955,18,16,90,3.0,1.885
2023-01-01,Heavy Hauler,Engine,Line A,823,31,13,169,2.0,3.767
2023-01-01,Heavy Hauler,Engine,Line B,920,33,25,177,4.0,3.587
2023-01-01,Heavy Hauler,Engine,Line C,915,27,14,106,3.0,2.951
2023-01-01,Heavy Hauler,Transmission,Line A,986,35,14,143,3.0,3.55
2023-01-01,Heavy Hauler,Transmission,Line B,740,23,14,128,3.0,3.108
2023-01-01,Heavy Hauler,Transmission,Line C,643,22,12,113,4.0,3.421
2023-01-01,Heavy Hauler,Brakes,Line A,664,13,8,45,3.0,1.958
2023-01-01,Heavy Hauler,Brakes,Line B,883,20,8,109,3.0,2.265
2023-01-01,Heavy Hauler,Brakes,Line C,870,19,11,76,2.0,2.184
2023-01-01,Heavy Hauler,Electrical,Line A,836,21,15,84,2.0,2.512
2023-01-01,Heavy Hauler,Electrical,Line B,983,22,8,107,3.0,2.238
2023-01-01,Heavy Hauler,Electrical,Line C,851,24,17,129,3.0,2.82
2023-01-01,Heavy Hauler,Body/Frame,Line A,1059,17,2,100,2.0,1.605
2023-01-01,Heavy Hauler,Body/Frame,Line B,859,16,3,61,1.0,1.863
2023-01-01,Heavy Hauler,Body/Frame,Line C,778,13,8,66,1.0,1.671
2023-01-01,Heavy Hauler,HVAC,Line A,642,8,3,42,3.0,1.246
2023-01-01,Heavy Hauler,HVAC,Line B,862,12,7,62,2.0,1.392
2023-01-01,Heavy Hauler,HVAC,Line C,833,11,8,48,3.0,1.321
2023-01-01,Heavy Hauler,Suspension,Line A,826,15,10,48,1.0,1.816
2023-01-01,Heavy Hauler,Suspension,Line B,716,9,3,51,2.0,1.257
2023-01-01,Heavy Hauler,Suspension,Line C,867,18,14,85,3.0,2.076
2023-02-01,Class 8 Truck,Engine,Line A,858,26,11,95,2.0,3.03
2023-02-01,Class 8 Truck,Engine,Line B,817,30,25,113,3.0,3.672
2023-02-01,Class 8 Truck,Engine,Line C,756,27,14,91,4.0,3.571
2023-02-01,Class 8 Truck,Transmission,Line A,795,23,7,97,3.0,2.893
2023-02-01,Class 8 Truck,Transmission,Line B,832,26,16,152,3.0,3.125
2023-02-01,Class 8 Truck,Transmission,Line C,717,25,12,139,3.0,3.487
2023-02-01,Class 8 Truck,Brakes,Line A,838,17,16,105,2.0,2.029
2023-02-01,Class 8 Truck,Brakes,Line B,864,18,6,93,2.0,2.083
2023-02-01,Class 8 Truck,Brakes,Line C,878,15,3,47,1.0,1.708
2023-02-01,Class 8 Truck,Electrical,Line A,808,17,16,97,2.0,2.104
2023-02-01,Class 8 Truck,Electrical,Line B,881,18,8,91,3.0,2.043
2023-02-01,Class 8 Truck,Electrical,Line C,819,20,6,97,4.0,2.442
2023-02-01,Class 8 Truck,Body/Frame,Line A,870,15,8,78,2.0,1.724
2023-02-01,Class 8 Truck,Body/Frame,Line B,834,11,7,45,3.0,1.319
2023-02-01,Class 8 Truck,Body/Frame,Line C,947,15,7,74,2.0,1.584
2023-02-01,Class 8 Truck,HVAC,Line A,934,8,3,26,1.0,0.857
2023-02-01,Class 8 Truck,HVAC,Line B,972,12,4,44,1.0,1.235
2023-02-01,Class 8 Truck,HVAC,Line C,801,12,7,51,3.0,1.498
2023-02-01,Class 8 Truck,Suspension,Line A,709,11,6,54,3.0,1.551
2023-02-01,Class 8 Truck,Suspension,Line B,881,16,6,87,4.0,1.816
2023-02-01,Class 8 Truck,Suspension,Line C,762,11,9,53,3.0,1.444
2023-02-01,Electric Van,Engine,Line A,810,29,16,144,4.0,3.58
2023-02-01,Electric Van,Engine,Line B,817,22,10,113,2.0,2.693
2023-02-01,Electric Van,Engine,Line C,907,26,19,76,2.0,2.867
2023-02-01,Electric Van,Transmission,Line A,698,17,10,80,3.0,2.436
2023-02-01,Electric Van,Transmission,Line B,835,24,8,125,4.0,2.874
2023-02-01,Electric Van,Transmission,Line C,884,26,15,164,3.0,2.941
2023-02-01,Electric Van,Brakes,Line A,822,13,4,48,2.0,1.582
2023-02-01,Electric Van,Brakes,Line B,843,15,8,62,3.0,1.779
2023-02-01,Electric Van,Brakes,Line C,916,15,6,80,2.0,1.638
2023-02-01,Electric Van,Electrical,Line A,719,14,8,58,2.0,1.947
2023-02-01,Electric Van,Electrical,Line B,719,17,13,76,3.0,2.364
2023-02-01,Electric Van,Electrical,Line C,633,11,5,42,3.0,1.738
2023-02-01,Electric Van,Body/Frame,Line A,1029,12,4,58,4.0,1.166
2023-02-01,Electric Van,Body/Frame,Line B,739,10,10,34,1.0,1.353
2023-02-01,Electric Van,Body/Frame,Line C,811,10,7,50,1.0,1.233
2023-02-01,Electric Van,HVAC,Line A,896,9,7,37,2.0,1.004
2023-02-01,Electric Van,HVAC,Line B,898,10,6,35,3.0,1.114
2023-02-01,Electric Van,HVAC,Line C,756,8,1,42,2.0,1.058
2023-02-01,Electric Van,Suspension,Line A,734,12,7,52,3.0,1.635
2023-02-01,Electric Van,Suspension,Line B,810,12,7,53,3.0,1.481
2023-02-01,Electric Van,Suspension,Line C,801,12,10,45,1.0,1.498
2023-02-01,Commercial Bus,Engine,Line A,994,46,22,153,3.0,4.628
2023-02-01,Commercial Bus,Engine,Line B,824,28,9,148,3.0,3.398
2023-02-01,Commercial Bus,Engine,Line C,715,27,25,134,3.0,3.776
2023-02-01,Commercial Bus,Transmission,Line A,837,29,6,141,3.0,3.465
2023-02-01,Commercial Bus,Transmission,Line B,1016,32,27,125,3.0,3.15
2023-02-01,Commercial Bus,Transmission,Line C,878,25,14,143,3.0,2.847
2023-02-01,Commercial Bus,Brakes,Line A,697,14,4,62,2.0,2.009
2023-02-01,Commercial Bus,Brakes,Line B,696,11,7,48,1.0,1.58
2023-02-01,Commercial Bus,Brakes,Line C,920,19,7,71,3.0,2.065
2023-02-01,Commercial Bus,Electrical,Line A,881,26,16,133,2.0,2.951
2023-02-01,Commercial Bus,Electrical,Line B,923,23,18,100,2.0,2.492
2023-02-01,Commercial Bus,Electrical,Line C,806,20,16,90,2.0,2.481
2023-02-01,Commercial Bus,Body/Frame,Line A,878,13,9,39,2.0,1.481
2023-02-01,Commercial Bus,Body/Frame,Line B,779,9,2,34,2.0,1.155
2023-02-01,Commercial Bus,Body/Frame,Line C,950,14,4,67,3.0,1.474
2023-02-01,Commercial Bus,HVAC,Line A,762,8,5,37,3.0,1.05
2023-02-01,Commercial Bus,HVAC,Line B,848,11,3,53,2.0,1.297
2023-02-01,Commercial Bus,HVAC,Line C,740,7,5,32,1.0,0.946
2023-02-01,Commercial Bus,Suspension,Line A,841,17,1,61,2.0,2.021
2023-02-01,Commercial Bus,Suspension,Line B,981,18,12,69,1.0,1.835
2023-02-01,Commercial Bus,Suspension,Line C,890,16,10,73,3.0,1.798
2023-02-01,Heavy Hauler,Engine,Line A,864,35,24,124,1.0,4.051
2023-02-01,Heavy Hauler,Engine,Line B,940,40,14,134,3.0,4.255
2023-02-01,Heavy Hauler,Engine,Line C,933,42,26,188,2.0,4.502
2023-02-01,Heavy Hauler,Transmission,Line A,851,27,9,173,4.0,3.173
2023-02-01,Heavy Hauler,Transmission,Line B,952,28,19,149,3.0,2.941
2023-02-01,Heavy Hauler,Transmission,Line C,962,35,23,182,3.0,3.638
2023-02-01,Heavy Hauler,Brakes,Line A,689,14,5,54,4.0,2.032
2023-02-01,Heavy Hauler,Brakes,Line B,1005,24,14,141,2.0,2.388
2023-02-01,Heavy Hauler,Brakes,Line C,868,16,10,75,1.0,1.843
2023-02-01,Heavy Hauler,Electrical,Line A,845,20,18,110,2.0,2.367
2023-02-01,Heavy Hauler,Electrical,Line B,872,21,10,84,2.0,2.408
2023-02-01,Heavy Hauler,Electrical,Line C,782,16,10,81,1.0,2.046
2023-02-01,Heavy Hauler,Body/Frame,Line A,838,15,11,84,2.0,1.79
2023-02-01,Heavy Hauler,Body/Frame,Line B,773,11,6,55,3.0,1.423
2023-02-01,Heavy Hauler,Body/Frame,Line C,948,15,4,68,2.0,1.582
2023-02-01,Heavy Hauler,HVAC,Line A,831,10,6,42,2.0,1.203
2023-02-01,Heavy Hauler,HVAC,Line B,878,11,6,53,1.0,1.253
2023-02-01,Heavy Hauler,HVAC,Line C,806,12,3,37,1.0,1.489
2023-02-01,Heavy Hauler,Suspension,Line A,852,16,8,90,1.0,1.878
2023-02-01,Heavy Hauler,Suspension,Line B,885,19,6,87,2.0,2.147
2023-02-01,Heavy Hauler,Suspension,Line C,769,14,12,85,2.0,1.821
2023-03-01,Class 8 Truck,Engine,Line A,1021,34,29,162,3.0,3.33
2023-03-01,Class 8 Truck,Engine,Line B,882,41,28,174,4.0,4.649
2023-03-01,Class 8 Truck,Engine,Line C,817,26,18,124,3.0,3.182
2023-03-01,Class 8 Truck,Transmission,Line A,851,27,16,89,4.0,3.173
2023-03-01,Class 8 Truck,Transmission,Line B,761,19,10,93,2.0,2.497
2023-03-01,Class 8 Truck,Transmission,Line C,924,24,11,102,3.0,2.597
2023-03-01,Class 8 Truck,Brakes,Line A,875,15,10,70,1.0,1.714
2023-03-01,Class 8 Truck,Brakes,Line B,673,13,6,59,2.0,1.932
2023-03-01,Class 8 Truck,Brakes,Line C,870,18,5,71,1.0,2.069
2023-03-01,Class 8 Truck,Electrical,Line A,876,22,10,64,1.0,2.511
2023-03-01,Class 8 Truck,Electrical,Line B,775,16,7,77,2.0,2.065
2023-03-01,Class 8 Truck,Electrical,Line C,944,19,7,98,1.0,2.013
2023-03-01,Class 8 Truck,Body/Frame,Line A,885,13,6,79,2.0,1.469
2023-03-01,Class 8 Truck,Body/Frame,Line B,1035,15,4,71,1.0,1.449
2023-03-01,Class 8 Truck,Body/Frame,Line C,782,12,8,51,3.0,1.535
2023-03-01,Class 8 Truck,HVAC,Line A,954,13,8,76,1.0,1.363
2023-03-01,Class 8 Truck,HVAC,Line B,821,8,4,36,2.0,0.974
2023-03-01,Class 8 Truck,HVAC,Line C,1019,12,7,53,2.0,1.178
2023-03-01,Class 8 Truck,Suspension,Line A,850,15,12,91,3.0,1.765
2023-03-01,Class 8 Truck,Suspension,Line B,903,13,6,72,3.0,1.44
2023-03-01,Class 8 Truck,Suspension,Line C,869,16,10,92,3.0,1.841
2023-03-01,Electric Van,Engine,Line A,817,26,0,131,1.0,3.182
2023-03-01,Electric Van,Engine,Line B,694,22,14,86,2.0,3.17
2023-03-01,Electric Van,Engine,Line C,973,28,27,133,3.0,2.878
2023-03-01,Electric Van,Transmission,Line A,995,28,10,131,3.0,2.814
2023-03-01,Electric Van,Transmission,Line B,727,19,7,107,3.0,2.613
2023-03-01,Electric Van,Transmission,Line C,824,22,13,118,2.0,2.67
2023-03-01,Electric Van,Brakes,Line A,756,15,6,53,3.0,1.984
2023-03-01,Electric Van,Brakes,Line B,891,12,7,67,3.0,1.347
2023-03-01,Electric Van,Brakes,Line C,906,13,8,58,2.0,1.435
2023-03-01,Electric Van,Electrical,Line A,928,22,19,126,2.0,2.371
2023-03-01,Electric Van,Electrical,Line B,881,19,10,94,3.0,2.157
2023-03-01,Electric Van,Electrical,Line C,844,15,6,81,2.0,1.777
2023-03-01,Electric Van,Body/Frame,Line A,880,13,6,68,3.0,1.477
2023-03-01,Electric Van,Body/Frame,Line B,738,12,5,39,1.0,1.626
2023-03-01,Electric Van,Body/Frame,Line C,758,10,4,45,3.0,1.319
2023-03-01,Electric Van,HVAC,Line A,880,10,6,50,1.0,1.136
2023-03-01,Electric Van,HVAC,Line B,817,6,3,30,3.0,0.734
2023-03-01,Electric Van,HVAC,Line C,956,10,4,53,2.0,1.046
2023-03-01,Electric Van,Suspension,Line A,849,14,5,78,3.0,1.649
2023-03-01,Electric Van,Suspension,Line B,764,13,9,63,2.0,1.702
2023-03-01,Electric Van,Suspension,Line C,772,11,7,44,3.0,1.425
2023-03-01,Commercial Bus,Engine,Line A,738,25,14,168,2.0,3.388
2023-03-01,Commercial Bus,Engine,Line B,982,35,21,172,3.0,3.564
2023-03-01,Commercial Bus,Engine,Line C,836,35,16,195,2.0,4.187
2023-03-01,Commercial Bus,Transmission,Line A,844,23,14,138,3.0,2.725
2023-03-01,Commercial Bus,Transmission,Line B,832,23,11,82,2.0,2.764
2023-03-01,Commercial Bus,Transmission,Line C,870,32,33,140,4.0,3.678
2023-03-01,Commercial Bus,Brakes,Line A,871,17,10,82,2.0,1.952
2023-03-01,Commercial Bus,Brakes,Line B,813,13,2,71,2.0,1.599
2023-03-01,Commercial Bus,Brakes,Line C,796,16,11,77,2.0,2.01
2023-03-01,Commercial Bus,Electrical,Line A,960,26,16,146,3.0,2.708
2023-03-01,Commercial Bus,Electrical,Line B,951,24,15,122,1.0,2.524
2023-03-01,Commercial Bus,Electrical,Line C,913,18,6,102,3.0,1.972
2023-03-01,Commercial Bus,Body/Frame,Line A,983,15,4,67,2.0,1.526
2023-03-01,Commercial Bus,Body/Frame,Line B,857,15,7,76,2.0,1.75
2023-03-01,Commercial Bus,Body/Frame,Line C,890,14,5,63,2.0,1.573
2023-03-01,Commercial Bus,HVAC,Line A,825,12,6,55,1.0,1.455
2023-03-01,Commercial Bus,HVAC,Line B,769,9,3,53,2.0,1.17
2023-03-01,Commercial Bus,HVAC,Line C,965,12,6,55,2.0,1.244
2023-03-01,Commercial Bus,Suspension,Line A,1004,13,1,55,2.0,1.295
2023-03-01,Commercial Bus,Suspension,Line B,912,17,7,94,3.0,1.864
2023-03-01,Commercial Bus,Suspension,Line C,866,17,10,74,3.0,1.963
2023-03-01,Heavy Hauler,Engine,Line A,859,32,26,93,2.0,3.725
2023-03-01,Heavy Hauler,Engine,Line B,743,26,13,95,2.0,3.499
2023-03-01,Heavy Hauler,Engine,Line C,772,37,32,165,3.0,4.793
2023-03-01,Heavy Hauler,Transmission,Line A,746,19,10,77,3.0,2.547
2023-03-01,Heavy Hauler,Transmission,Line B,705,21,12,108,3.0,2.979
2023-03-01,Heavy Hauler,Transmission,Line C,731,27,10,141,3.0,3.694
2023-03-01,Heavy Hauler,Brakes,Line A,726,14,8,76,2.0,1.928
2023-03-01,Heavy Hauler,Brakes,Line B,987,23,11,123,4.0,2.33
2023-03-01,Heavy Hauler,Brakes,Line C,1026,18,6,107,1.0,1.754
2023-03-01,Heavy Hauler,Electrical,Line A,730,17,10,78,2.0,2.329
2023-03-01,Heavy Hauler,Electrical,Line B,789,17,6,114,3.0,2.155
2023-03-01,Heavy Hauler,Electrical,Line C,929,21,10,89,1.0,2.26
2023-03-01,Heavy Hauler,Body/Frame,Line A,725,9,0,34,3.0,1.241
2023-03-01,Heavy Hauler,Body/Frame,Line B,846,16,10,85,2.0,1.891
2023-03-01,Heavy Hauler,Body/Frame,Line C,897,16,6,82,3.0,1.784
2023-03-01,Heavy Hauler,HVAC,Line A,800,9,2,42,3.0,1.125
2023-03-01,Heavy Hauler,HVAC,Line B,778,10,6,52,4.0,1.285
2023-03-01,Heavy Hauler,HVAC,Line C,964,11,10,46,3.0,1.141
2023-03-01,Heavy Hauler,Suspension,Line A,856,15,2,69,1.0,1.752
2023-03-01,Heavy Hauler,Suspension,Line B,937,20,7,102,2.0,2.134
2023-03-01,Heavy Hauler,Suspension,Line C,793,16,8,98,2.0,2.018
2023-04-01,Class 8 Truck,Engine,Line A,939,32,22,142,3.0,3.408
2023-04-01,Class 8 Truck,Engine,Line B,839,25,16,134,3.0,2.98
2023-04-01,Class 8 Truck,Engine,Line C,988,39,18,197,3.0,3.947
2023-04-01,Class 8 Truck,Transmission,Line A,852,24,20,122,3.0,2.817
2023-04-01,Class 8 Truck,Transmission,Line B,957,22,3,116,3.0,2.299
2023-04-01,Class 8 Truck,Transmission,Line C,872,22,12,141,4.0,2.523
2023-04-01,Class 8 Truck,Brakes,Line A,865,15,6,48,3.0,1.734
2023-04-01,Class 8 Truck,Brakes,Line B,926,14,5,55,2.0,1.512
2023-04-01,Class 8 Truck,Brakes,Line C,854,12,8,65,2.0,1.405
2023-04-01,Class 8 Truck,Electrical,Line A,626,12,10,31,2.0,1.917
2023-04-01,Class 8 Truck,Electrical,Line B,743,18,7,91,3.0,2.423
2023-04-01,Class 8 Truck,Electrical,Line C,1015,22,13,79,3.0,2.167
2023-04-01,Class 8 Truck,Body/Frame,Line A,781,11,5,37,2.0,1.408
2023-04-01,Class 8 Truck,Body/Frame,Line B,937,14,2,67,3.0,1.494
2023-04-01,Class 8 Truck,Body/Frame,Line C,680,9,7,43,3.0,1.324
2023-04-01,Class 8 Truck,HVAC,Line A,1017,12,8,86,2.0,1.18
2023-04-01,Class 8 Truck,HVAC,Line B,778,9,5,41,1.0,1.157
2023-04-01,Class 8 Truck,HVAC,Line C,1057,13,4,70,2.0,1.23
2023-04-01,Class 8 Truck,Suspension,Line A,827,15,4,75,4.0,1.814
2023-04-01,Class 8 Truck,Suspension,Line B,891,14,6,63,2.0,1.571
2023-04-01,Class 8 Truck,Suspension,Line C,815,15,2,83,2.0,1.84
2023-04-01,Electric Van,Engine,Line A,883,23,18,133,4.0,2.605
2023-04-01,Electric Van,Engine,Line B,713,24,15,85,3.0,3.366
2023-04-01,Electric Van,Engine,Line C,882,29,16,143,4.0,3.288
2023-04-01,Electric Van,Transmission,Line A,960,17,8,81,2.0,1.771
2023-04-01,Electric Van,Transmission,Line B,858,27,9,137,2.0,3.147
2023-04-01,Electric Van,Transmission,Line C,789,26,11,131,2.0,3.295
2023-04-01,Electric Van,Brakes,Line A,1017,19,9,97,1.0,1.868
2023-04-01,Electric Van,Brakes,Line B,956,16,8,69,2.0,1.674
2023-04-01,Electric Van,Brakes,Line C,912,16,11,77,3.0,1.754
2023-04-01,Electric Van,Electrical,Line A,812,21,5,118,3.0,2.586
2023-04-01,Electric Van,Electrical,Line B,773,20,14,108,2.0,2.587
2023-04-01,Electric Van,Electrical,Line C,830,16,10,95,2.0,1.928
2023-04-01,Electric Van,Body/Frame,Line A,767,11,8,59,3.0,1.434
2023-04-01,Electric Van,Body/Frame,Line B,825,10,3,33,2.0,1.212
2023-04-01,Electric Van,Body/Frame,Line C,842,11,0,40,3.0,1.306
2023-04-01,Electric Van,HVAC,Line A,790,9,1,51,2.0,1.139
2023-04-01,Electric Van,HVAC,Line B,876,12,10,53,2.0,1.37
2023-04-01,Electric Van,HVAC,Line C,820,9,4,40,3.0,1.098
2023-04-01,Electric Van,Suspension,Line A,839,16,9,100,3.0,1.907
2023-04-01,Electric Van,Suspension,Line B,936,13,4,67,3.0,1.389
2023-04-01,Electric Van,Suspension,Line C,853,11,2,39,1.0,1.29
2023-04-01,Commercial Bus,Engine,Line A,859,34,18,106,3.0,3.958
2023-04-01,Commercial Bus,Engine,Line B,835,37,10,165,4.0,4.431
2023-04-01,Commercial Bus,Engine,Line C,890,33,18,168,4.0,3.708
2023-04-01,Commercial Bus,Transmission,Line A,777,27,7,138,3.0,3.475
2023-04-01,Commercial Bus,Transmission,Line B,794,25,10,100,3.0,3.149
2023-04-01,Commercial Bus,Transmission,Line C,750,25,8,132,2.0,3.333
2023-04-01,Commercial Bus,Brakes,Line A,799,15,12,74,2.0,1.877
2023-04-01,Commercial Bus,Brakes,Line B,894,13,7,84,2.0,1.454
2023-04-01,Commercial Bus,Brakes,Line C,856,18,13,58,1.0,2.103
2023-04-01,Commercial Bus,Electrical,Line A,868,18,14,83,1.0,2.074
2023-04-01,Commercial Bus,Electrical,Line B,735,11,5,52,2.0,1.497
2023-04-01,Commercial Bus,Electrical,Line C,947,25,12,79,3.0,2.64
2023-04-01,Commercial Bus,Body/Frame,Line A,899,14,10,55,4.0,1.557
2023-04-01,Commercial Bus,Body/Frame,Line B,763,13,2,51,4.0,1.704
2023-04-01,Commercial Bus,Body/Frame,Line C,826,14,8,66,3.0,1.695
2023-04-01,Commercial Bus,HVAC,Line A,828,8,2,41,3.0,0.966
2023-04-01,Commercial Bus,HVAC,Line B,708,8,3,35,1.0,1.13
2023-04-01,Commercial Bus,HVAC,Line C,793,9,6,47,2.0,1.135
2023-04-01,Commercial Bus,Suspension,Line A,814,15,5,56,2.0,1.843
2023-04-01,Commercial Bus,Suspension,Line B,792,12,7,64,1.0,1.515
2023-04-01,Commercial Bus,Suspension,Line C,852,15,9,69,1.0,1.761
2023-04-01,Heavy Hauler,Engine,Line A,736,27,20,84,3.0,3.668
2023-04-01,Heavy Hauler,Engine,Line B,957,35,22,147,3.0,3.657
2023-04-01,Heavy Hauler,Engine,Line C,704,19,14,75,3.0,2.699
2023-04-01,Heavy Hauler,Transmission,Line A,725,20,10,85,3.0,2.759
2023-04-01,Heavy Hauler,Transmission,Line B,890,31,18,184,2.0,3.483
2023-04-01,Heavy Hauler,Transmission,Line C,845,32,24,119,3.0,3.787
2023-04-01,Heavy Hauler,Brakes,Line A,972,21,12,98,2.0,2.16
2023-04-01,Heavy Hauler,Brakes,Line B,875,18,9,85,2.0,2.057
2023-04-01,Heavy Hauler,Brakes,Line C,897,25,5,126,2.0,2.787
2023-04-01,Heavy Hauler,Electrical,Line A,901,22,15,124,2.0,2.442
2023-04-01,Heavy Hauler,Electrical,Line B,951,17,14,84,3.0,1.788
2023-04-01,Heavy Hauler,Electrical,Line C,740,16,9,77,3.0,2.162
2023-04-01,Heavy Hauler,Body/Frame,Line A,947,12,9,57,2.0,1.267
2023-04-01,Heavy Hauler,Body/Frame,Line B,717,12,0,65,1.0,1.674
2023-04-01,Heavy Hauler,Body/Frame,Line C,854,14,11,63,2.0,1.639
2023-04-01,Heavy Hauler,HVAC,Line A,804,12,8,52,2.0,1.493
2023-04-01,Heavy Hauler,HVAC,Line B,708,9,0,50,2.0,1.271
2023-04-01,Heavy Hauler,HVAC,Line C,1064,12,6,73,3.0,1.128
2023-04-01,Heavy Hauler,Suspension,Line A,787,15,8,74,2.0,1.906
2023-04-01,Heavy Hauler,Suspension,Line B,841,13,7,64,2.0,1.546
2023-04-01,Heavy Hauler,Suspension,Line C,704,14,8,61,2.0,1.989
2023-05-01,Class 8 Truck,Engine,Line A,714,21,9,120,2.0,2.941
2023-05-01,Class 8 Truck,Engine,Line B,907,29,17,133,4.0,3.197
2023-05-01,Class 8 Truck,Engine,Line C,801,22,6,95,2.0,2.747
2023-05-01,Class 8 Truck,Transmission,Line A,886,25,25,88,3.0,2.822
2023-05-01,Class 8 Truck,Transmission,Line B,748,21,12,64,3.0,2.807
2023-05-01,Class 8 Truck,Transmission,Line C,1021,29,17,163,3.0,2.84
2023-05-01,Class 8 Truck,Brakes,Line A,797,11,7,51,1.0,1.38
2023-05-01,Class 8 Truck,Brakes,Line B,861,15,6,79,1.0,1.742
2023-05-01,Class 8 Truck,Brakes,Line C,944,15,6,93,3.0,1.589
